,,Units,Description,
absorber_column,co2_capture_target,%,"CO2 capture target, expressed as a percentage of the total CO2 fed to the scrubbing process flowsheet",
absorber_column,co2_capture_rate,%,"Actual CO2 capture rate, expressed as a percentage of the total CO2 fed to the scrubbing process flowsheet",
absorber_column,length_column,m,Packed height of the absorber column,
absorber_column,diameter_column,m,Diameter of the absorber column,
absorber_column,ld_ratio,,Height/diameter ratio of the absorber column,
absorber_column,lg_ratio,,Ratio of molar flow rate of absorber liquid inlet stream / molar flow rate of absorber vapor inlet stream,
absorber_column,volume_column_withheads,1000 m^3,Volume of the absorption column (assuming cylindrical with two hemispherical heads),
absorber_column,volume_column,1000 m^3,Volume of the cylindrical portion of the absorption column,
absorber_column,top_flood_fraction,,Flooding fraction at the top of the absorption column,
absorber_column,bottom_flood_fraction,,Flooding fraction at the bottom of the absorption column,
absorber_column,liquid_inlet_flow_rate,kmol/s,Molar flow rate of the absorber liquid inlet stream,
absorber_column,liquid_inlet_temperature,K,Absolute temperature of the absorber liquid inlet stream,
absorber_column,liquid_inlet_pressure,Pa,Absolute pressure of the absorber liquid inlet stream,
absorber_column,liquid_inlet_h2o_mole_frac,,H2O mole fraction of the absorber liquid inlet stream,
absorber_column,liquid_inlet_mea_mole_frac,,MEA mole fraction of the absorber liquid inlet stream,
absorber_column,liquid_inlet_co2_mole_frac,,CO2 mole fraction of the absorber liquid inlet stream,
absorber_column,liquid_outlet_flow_rate,kmol/s,Molar flow rate of the absorber liquid outlet stream,
absorber_column,liquid_outlet_temperature,K,Absolute temperature of the absorber liquid outlet stream,
absorber_column,liquid_outlet_pressure,Pa,Absolute pressure of the absorber liquid outlet stream,
absorber_column,liquid_outlet_h2o_mole_frac,,H2O mole fraction of the absorber liquid outlet stream,
absorber_column,liquid_outlet_mea_mole_frac,,MEA mole fraction of the absorber liquid outlet stream,
absorber_column,liquid_outlet_co2_mole_frac,,CO2 mole fraction of the absorber liquid outlet stream,
absorber_column,vapor_inlet_flow_rate,kmol/s,Molar flow rate of the absorber vapor inlet stream,
absorber_column,vapor_inlet_temperature,K,Absolute temperature of the absorber vapor inlet stream,
absorber_column,vapor_inlet_pressure,Pa,Absolute pressure of the absorber vapor inlet stream,
absorber_column,vapor_inlet_co2_mole_frac,,CO2 mole fraction of the absorber vapor inlet stream,
absorber_column,vapor_inlet_h2o_mole_frac,,H2O mole fraction of the absorber vapor inlet stream,
absorber_column,vapor_inlet_n2_mole_frac,,N2 mole fraction of the absorber vapor inlet stream,
absorber_column,vapor_inlet_o2_mole_frac,,O2 mole fraction of the absorber vapor inlet stream,
absorber_column,vapor_outlet_flow_rate,kmol/s,Molar flow rate of the absorber liquid outlet stream,
absorber_column,vapor_outlet_temperature,K,Absolute temperature of the absorber liquid outlet stream,
absorber_column,vapor_outlet_pressure,Pa,Absolute pressure of the absorber liquid outlet stream,
absorber_column,vapor_outlet_co2_mole_frac,,CO2 mole fraction of the absorber vapor inlet stream,
absorber_column,vapor_outlet_h2o_mole_frac,,H2O mole fraction of the absorber vapor inlet stream,
absorber_column,vapor_outlet_n2_mole_frac,,N2 mole fraction of the absorber vapor inlet stream,
absorber_column,vapor_outlet_o2_mole_frac,,O2 mole fraction of the absorber vapor inlet stream,
stripper_column,length_column,m,Packed height of the stripper column,
stripper_column,diameter_column,m,Diameter of the stripper column,
stripper_column,ld_ratio,,Height/diameter of the stripper column,
stripper_column,lg_ratio,,Ratio of molar flow rate of stripper liquid inlet stream / molar flow rate of stripper vapor inlet stream,
stripper_column,volume_column_withheads,1000 m^3,Volume of the stripper column (assuming cylindrical with two hemispherical heads),
stripper_column,volume_column,1000 m^3,Volume of the cylindrical portion of the stripper column,
stripper_column,top_flood_fraction,,Flooding fraction at the top of the absorption column,
stripper_column,bottom_flood_fraction,,Flooding fraction at the bottom of the absorption column,
stripper_column,liquid_inlet_flow_rate,kmol/s,Molar flow rate of the stripper liquid inlet stream,
stripper_column,liquid_inlet_temperature,K,Absolute temperature of the stripper liquid inlet stream,
stripper_column,liquid_inlet_pressure,Pa,Absolute pressure of the stripper liquid inlet stream,
stripper_column,liquid_inlet_h2o_mole_frac,,H2O mole fraction of the stripper liquid inlet stream,
stripper_column,liquid_inlet_mea_mole_frac,,MEA mole fraction of the stripper liquid inlet stream,
stripper_column,liquid_inlet_co2_mole_frac,,CO2 mole fraction of the stripper liquid inlet stream,
stripper_column,liquid_outlet_flow_rate,kmol/s,Molar flow rate of the stripper liquid outlet stream,
stripper_column,liquid_outlet_temperature,K,Absolute temperature of the stripper liquid outlet stream,
stripper_column,liquid_outlet_pressure,Pa,Absolute pressure of the stripper liquid outlet stream,
stripper_column,liquid_outlet_h2o_mole_frac,,H2O mole fraction of the stripper liquid outlet stream,
stripper_column,liquid_outlet_mea_mole_frac,,MEA mole fraction of the stripper liquid outlet stream,
stripper_column,liquid_outlet_co2_mole_frac,,CO2 mole fraction of the stripper liquid outlet stream,
stripper_column,vapor_inlet_flow_rate,kmol/s,Molar flow rate of the stripper vapor inlet stream,
stripper_column,vapor_inlet_temperature,K,Absolute temperature of the stripper vapor inlet stream,
stripper_column,vapor_inlet_pressure,Pa,Absolute pressure of the stripper vapor inlet stream,
stripper_column,vapor_inlet_co2_mole_frac,,CO2 mole fraction of the stripper vapor inlet stream,
stripper_column,vapor_inlet_h2o_mole_frac,,H2O mole fraction of the stripper vapor inlet stream,
stripper_column,vapor_outlet_flow_rate,kmol/s,Molar flow rate of the stripper vapor outlet stream,
stripper_column,vapor_outlet_temperature,K,Absolute temperature of the stripper vapor outlet stream,
stripper_column,vapor_outlet_pressure,Pa,Absolute pressure of the stripper vapor outlet stream,
stripper_column,vapor_outlet_co2_mole_frac,,CO2 mole fraction of the stripper vapor outlet stream,
stripper_column,vapor_outlet_h2o_mole_frac,,H2O mole fraction of the stripper vapor outlet stream,
solvent_loading,rich_loading,,CO2 loading (mol CO2 / mol MEA) of the rich solvent stream (absorber liquid outlet),
solvent_loading,lean_loading,,CO2 loading (mol CO2 / mol MEA) of the lean solvent stream (reboiler liquid outlet),
